,City,Elevation,Condo value,Females,Land area,Males,Cost of living,Median Income,Population,Population density
189,"Jasper, TX",," $94,048 ",34.5 years,10.3,33.8 years,79.7," $32,531 "," 7,637 (93% urban, 7% rural). ", 738 
190,Jersey Village,," $247,840 ",34.5 years,3.42,44.7 years,94.0," $66,277 "," 7,906 (100% urban, 0% rural). "," 2,315 "
191,Jollyville,," $264,462 ",34.5 years,5.9,34.9 years,93.4," $90,395 "," 16,151. "," 2,739 "
192,Joshua, 924 feet," $172,560 ",34.5 years,6.51,38.2 years,93.7," $52,463 "," 6,002 (77% urban, 23% rural). ", 922 
193,Katy, 142 feet," $178,958 ",34.5 years,10.7,36.0 years,93.0," $72,762 "," 15,591 (98% urban, 2% rural). "," 1,461 "
194,Kaufman,," $100,350 ",34.5 years,6.64,34.6 years,92.5," $43,649 "," 6,982 (87% urban, 13% rural). "," 1,052 "
195,"Keene, TX",," $127,083 ",34.5 years,2.81,28.5 years,94.1," $41,614 "," 6,153 (96% urban, 4% rural). "," 2,193 "
196,"Keller, TX",," $354,635 ",34.5 years,18.4,40.9 years,95.0," $124,644 "," 43,924 (99% urban, 1% rural). "," 2,382 "
197,Kennedale,," $194,441 ",34.5 years,6.04,40.8 years,93.8," $73,257 "," 7,394 (95% urban, 5% rural). "," 1,224 "
198,"Kermit, TX",," $53,192 ",34.5 years,2.5,33.2 years,76.9," $52,011 "," 6,286 (100% urban, 0% rural). "," 2,517 "
199,Kerrville, 1640 feet," $178,023 ",34.5 years,16.7,47.7 years,84.5," $42,139 "," 22,905 (95% urban, 5% rural). "," 1,371 "
200,"Kilgore, TX",," $100,591 ",34.5 years,15.4,33.6 years,82.8," $53,346 "," 14,948 (97% urban, 3% rural). ", 971 
201,"Killeen, TX",," $119,900 ",34.5 years,35.3,27.8 years,84.8," $47,556 "," 143,397"," 4,057 "
202,"Kingsland, TX", 851 feet," $125,963 ",34.5 years,9.0,49.9 years,81.7," $41,677 "," 6,030. ", 670 
203,"Kingsville, TX",," $96,651 ",34.5 years,13.8,26.8 years,80.0," $41,058 "," 26,529 (98% urban, 2% rural). "," 1,918 "
204,"Kirby, TX",," $92,199 ",34.5 years,1.87,38.5 years,87.1," $44,784 "," 8,442 (100% urban, 0% rural). "," 4,518 "
205,"Kyle, TX",," $180,000 ",34.5 years,5.91,31.0 years,94.1," $77,159 "," 32,881 (98% urban, 2% rural). "," 5,563 "
206,La Feria, 60 feet," $57,972 ",34.5 years,1.99,36.0 years,78.9," $37,454 "," 7,308 (98% urban, 2% rural). "," 3,675 "
207,La Homa,," $75,152 ",34.5 years,6.86,25.4 years,81.6," $29,952 "," 11,985. "," 1,748 "
208,La Marque, 15 feet," $100,837 ",34.5 years,14.2,39.8 years,92.2," $43,838 "," 15,521 (97% urban, 3% rural). "," 1,091 "
209,"La Porte, TX",," $144,745 ",34.5 years,18.9,37.8 years,93.0," $71,689 "," 35,039 (100% urban, 0% rural). "," 1,850 "
210,La Rue-Poynor,," $79,571 ",32.3 years,148.7,40.6 years,85.3," $43,993 "," 6,714.", 45 
211,La Sara,," $48,565 ",32.3 years,137.4,28.2 years,79.9," $25,770 "," 7,190.", 52 
212,"Labelle, TX",," $143,781 ",32.3 years,128.3,35.8 years,83.6," $61,802 "," 10,921.", 85 
213,Lackland AFB,," $112,755 ",34.5 years,4.28,20.7 years,91.8," $72,156 "," 9,918. "," 2,315 "
214,Lacy-Lakeview, 487 feet," $82,672 ",34.5 years,3.81,28.1 years,84.3," $35,645 "," 6,633 (100% urban, 0% rural). "," 1,741 "
215,Lago Vista,," $237,908 ",34.5 years,8.71,53.7 years,93.0," $81,305 "," 6,478 (82% urban, 18% rural). ", 744 
216,Lake Dallas,," $178,657 ",34.5 years,2.29,36.8 years,93.7," $72,315 "," 7,429 (100% urban, 0% rural). "," 3,245 "
217,Lake Jackson,," $165,454 ",34.5 years,19.0,37.0 years,88.8," $78,400 "," 27,604 (99% urban, 1% rural). "," 1,450 "
218,Lakeway,," $484,210 ",34.5 years,5.8,47.5 years,96.2," $123,705 "," 13,685 (99% urban, 1% rural). "," 2,359 "
219,Lamesa,," $69,489 ",34.5 years,4.78,35.2 years,76.9," $43,370 "," 9,440 (100% urban, 0% rural). "," 1,974 "
220,Lampasas,," $107,176 ",34.5 years,6.18,37.7 years,85.0," $40,388 "," 7,223 (89% urban, 11% rural). "," 1,168 "
221,"Lancaster, TX",," $116,337 ",34.5 years,29.3,33.1 years,92.6," $54,368 "," 38,453 (96% urban, 4% rural). "," 1,313 "
222,"Lantana, TX", 26 feet," $80,000
",34.5 years,,37.8 years,90.5," $37,061"," 6,874.",
223,"Laredo, TX", 414 feet," $118,400 ",34.5 years,78.5,28.2 years,83.9," $36,195 "," 257,988"," 3,288 "
224,League City, 23 feet," $227,800 ",34.5 years,51.2,33.7 years,93.2," $104,736 "," 101,619"," 1,983 "
225,Leander,," $208,832 ",34.5 years,7.47,33.7 years,94.4," $90,023 "," 34,172 (94% urban, 6% rural). "," 4,572 "
226,Leon Valley, 826 feet," $164,281 ",34.5 years,3.41,38.1 years,88.0," $58,763 "," 11,015 (100% urban, 0% rural). "," 3,229 "
227,Levelland,," $94,161 ",34.5 years,9.92,32.2 years,78.1," $49,664 "," 13,954 (98% urban, 2% rural). "," 1,406 "
228,"Lewisville, TX",," $187,100 ",34.5 years,36.8,33.3 years,94.3," $58,361 "," 104,676"," 2,845 "
229,"Liberty, TX",," $108,694 ",34.5 years,35.1,37.2 years,92.4," $44,383 "," 8,919 (65% urban, 35% rural). ", 254 
230,Little Elm,," $209,816 ",34.5 years,4.85,33.1 years,95.0," $92,446 "," 35,414 (100% urban, 0% rural). "," 7,299 "
231,"Littlefield, TX",," $73,677 ",34.5 years,5.99,33.9 years,77.6," $42,163 "," 6,180 (92% urban, 8% rural). "," 1,031 "
232,"Live Oak, TX",," $138,019 ",34.5 years,4.68,38.6 years,87.7," $62,886 "," 15,116 (100% urban, 0% rural). "," 3,230 "
233,Livingston-New Willard,," $98,205 ",32.3 years,758.5,40.1 years,82.4," $42,908 "," 40,554.", 53 
234,"Lockhart, TX", 526 feet," $137,281 ",34.5 years,11.2,36.3 years,91.8," $51,589 "," 13,232 (97% urban, 3% rural). "," 1,176 "
235,"Longview, TX",," $126,900 ",34.5 years,54.7,35.9 years,83.8," $43,411 "," 81,712"," 1,495 "
236,Los Fresnos, 23 feet," $84,906 ",34.5 years,2.41,28.5 years,79.2," $55,433 "," 6,447 (96% urban, 4% rural). "," 2,670 "
237,"Lubbock, TX",," $134,700 ",34.5 years,114.8,29.7 years,85.0," $48,103 "," 252,514"," 2,199 "
238,"Lucas, TX",," $575,003 ",34.5 years,9.2,40.3 years,98.2," $138,760 "," 6,554 (75% urban, 25% rural). ", 713 
239,Lufkin, 316 feet," $112,682 ",34.5 years,26.7,35.6 years,80.9," $38,518 "," 36,141 (98% urban, 2% rural). "," 1,354 "
240,"Lumberton, TX",," $181,079 ",34.5 years,9.4,39.1 years,83.3," $67,339 "," 12,312 (95% urban, 5% rural). "," 1,309 "
241,"Manor, TX", 528 feet," $179,270 ",34.5 years,1.14,32.8 years,93.4," $66,807 "," 6,920 (93% urban, 7% rural). "," 6,045 "
242,"Mansfield, TX",," $248,600 ",34.5 years,36.5,34.7 years,95.4," $95,225 "," 65,205"," 1,788 "
243,"Manvel, TX",," $186,260 ",34.5 years,23.3,34.9 years,86.0," $85,357 "," 7,165 (39% urban, 61% rural). ", 308 
244,Marble Falls, 821 feet," $191,831 ",34.5 years,6.14,44.3 years,83.7," $42,817 "," 6,185 (69% urban, 31% rural). "," 1,007 "
245,"Marshall, TX",," $86,996 ",34.5 years,29.6,35.0 years,79.5," $38,559 "," 24,701 (92% urban, 8% rural). ", 835 
246,Maud-Elliot Creek,," $104,968 ",32.3 years,144.9,36.8 years,81.9," $50,665 "," 10,147.", 70 
247,"McAllen, TX", 121 feet," $118,100 ",34.5 years,46.0,32.6 years,82.7," $43,062 "," 142,203"," 3,093 "
248,"McKinney, TX",," $278,900 ",34.5 years,58.0,35.6 years,94.6," $87,356 "," 172,318"," 2,970 "
249,Meadows Place, 75 feet," $231,939 ",32.3 years,0.94,39.3 years,100.3," $103,961 "," 6,958."," 7,434 "
250,Melissa,," $231,126 ",34.5 years,4.59,32.7 years,97.2," $105,582 "," 6,703 (96% urban, 4% rural). "," 1,462 "
251,Mercedes,," $60,603 ",34.5 years,8.58,30.2 years,80.9," $29,773 "," 16,591 (98% urban, 2% rural). "," 1,934 "
252,"Mesquite, TX",," $122,700 ",34.5 years,43.4,32.8 years,93.1," $55,416 "," 143,763"," 3,311 "
253,Mexia,," $83,749 ",34.5 years,5.15,34.9 years,79.0," $33,349 "," 7,501 (91% urban, 9% rural). "," 1,456 "
254,Midland Rural,," $176,224 ",32.3 years,866.7,34.2 years,85.3," $72,230 "," 27,540.", 32 
255,"Midland, TX", 2839 feet," $196,100 ",34.5 years,66.6,32.0 years,85.7," $64,616 "," 134,613"," 2,021 "
256,"Midlothian, TX", 755 feet," $181,325 ",34.5 years,37.7,33.4 years,93.3," $79,560 "," 20,934 (90% urban, 10% rural). ", 555 
257,Mila Doce,," $49,508 ",34.5 years,3.29,21.5 years,81.0," $23,820 "," 6,222. "," 1,892 "
258,Mineral Wells, 911 feet," $87,823 ",34.5 years,20.5,33.2 years,79.7," $36,692 "," 15,362 (95% urban, 5% rural). ", 751 
259,Mission Bend,," $140,342 ",34.5 years,5.23,33.4 years,93.9," $61,588 "," 36,501. "," 6,985 "
260,"Mission, TX",," $116,000 ",34.5 years,24.1,30.5 years,82.9," $40,945 "," 83,556"," 3,463 "
261,"Missouri City, TX",," $185,700 ",34.5 years,29.7,38.6 years,94.2," $76,846 "," 74,875"," 2,521 "
262,Monahans, 2624 feet," $102,762 ",34.5 years,24.8,32.6 years,79.5," $57,171 "," 7,617 (100% urban, 0% rural). ", 307 
263,Montalba-Tennessee Colony,," $108,275 ",32.3 years,229.9,34.9 years,82.3," $46,911 "," 18,295.", 80 
264,"Mount Pleasant, TX",," $100,838 ",34.5 years,12.5,30.5 years,78.4," $43,269 "," 16,021 (96% urban, 4% rural). "," 1,278 "
265,Murillo,," $85,200
",34.5 years,,25.9 years,82.7," $36,176"," 7,344.",
266,"Murphy, TX",," $363,985 ",34.5 years,5.25,37.2 years,98.0," $123,600 "," 20,230 (100% urban, 0% rural). "," 3,850 "
267,Nacogdoches,," $135,990 ",34.5 years,25.2,24.7 years,83.0," $29,224 "," 33,687 (98% urban, 2% rural). "," 1,335 "
268,Navasota, 218 feet," $113,967 ",34.5 years,6.12,35.8 years,79.6," $48,997 "," 7,351 (93% urban, 7% rural). "," 1,202 "
269,"Nederland, TX",," $137,797 ",34.5 years,5.69,39.0 years,83.1," $65,413 "," 17,108 (100% urban, 0% rural). "," 3,008 "
270,New Braunfels, 623 feet," $206,000 ",34.5 years,29.2,37.5 years,88.7," $68,937 "," 70,999"," 2,427 "
271,New Territory,," $318,981 ",34.5 years,5.05,38.8 years,94.4," $135,793 "," 15,186. "," 3,009 "
272,"North Randall, TX",," $151,658 ",32.3 years,280.8,34.3 years,83.7," $70,035 "," 15,016.", 53 
273,North Richland Hills,," $191,500 ",34.5 years,18.2,37.2 years,94.8," $59,743 "," 69,807"," 3,834 "
274,Northeast Brazos,," $236,095 ",32.3 years,257.9,32.9 years,86.6," $72,014 "," 12,491.", 48 
275,Northeast Harris,," $145,627 ",32.3 years,154.0,34.8 years,95.8," $65,322 "," 50,134.", 326 
276,Northeast Rockwall,," $135,457 ",32.3 years,39.8,30.6 years,95.5," $69,349 "," 10,765.", 270 
277,"Northeast Tarrant, TX",," $212,242 ",32.3 years,206.9,34.2 years,99.2," $78,382 "," 472,730."," 2,284 "
278,Northeast Wharton,," $120,029 ",32.3 years,270.1,36.7 years,82.4," $54,321 "," 6,046.", 22 
279,Northwest Bell,," $169,991 ",32.3 years,81.6,37.7 years,88.6," $73,238 "," 10,042.", 123 
280,Northwest Grayson,," $124,646 ",32.3 years,309.3,39.9 years,82.8," $54,805 "," 22,934.", 74 
281,"Northwest Harris, TX",," $220,616 ",32.3 years,437.4,32.7 years,98.6," $81,222 "," 464,301."," 1,061 "
282,Northwest Rockwall,," $249,165 ",32.3 years,20.6,36.2 years,99.2," $99,430 "," 36,894."," 1,793 "
283,Nurillo,," $75,383 ",32.3 years,6.96,23.7 years,83.2," $35,859 "," 6,188.", 889 
284,"Odessa, TX",," $143,100 ",34.5 years,36.8,31.0 years,82.9," $56,265 "," 117,749"," 3,200 "
285,"Orange, TX",," $97,312 ",34.5 years,20.1,35.5 years,82.4," $42,559 "," 18,913 (97% urban, 3% rural). ", 942 
286,"Palestine, TX",," $100,046 ",34.5 years,17.7,34.9 years,80.1," $38,557 "," 18,393 (98% urban, 2% rural). "," 1,039 "
287,Pampa, 3236 feet," $83,523 ",34.5 years,8.73,36.2 years,78.3," $45,543 "," 18,399 (100% urban, 0% rural). "," 2,109 "
288,"Paris, TX", 602 feet," $83,975 ",34.5 years,42.8,39.3 years,78.7," $33,855 "," 24,895 (94% urban, 6% rural). ", 582 
289,"Pasadena, TX",," $115,700 ",34.5 years,44.2,30.2 years,92.4," $50,043 "," 153,359"," 3,473 "
290,"Pearland, TX", 54 feet," $231,800 ",34.5 years,39.3,36.1 years,89.9," $91,010 "," 117,367"," 2,984 "
291,Pearsall, 631 feet," $82,617 ",34.5 years,4.22,30.6 years,78.4," $38,308 "," 9,852 (93% urban, 7% rural). "," 2,333 "
292,Pecan Grove,," $233,824 ",34.5 years,8.73,39.6 years,93.2," $106,365 "," 15,963. "," 1,828 "
293,"Pecos, TX", 2586 feet," $50,589 ",34.5 years,7.31,33.8 years,77.1," $53,089 "," 9,213 (98% urban, 2% rural). "," 1,261 "
294,Perryton,," $100,046 ",34.5 years,4.43,30.6 years,79.3," $48,098 "," 9,260 (99% urban, 1% rural). "," 2,088 "
295,Pflugerville, 704 feet," $220,041 ",34.5 years,11.3,37.4 years,93.4," $84,835 "," 54,644 (98% urban, 2% rural). "," 4,819 "
296,Pharr, 115 feet," $74,700 ",34.5 years,20.8,31.1 years,81.7," $37,172 "," 77,314"," 3,712 "
297,"Plainview, TX",," $90,766 ",34.5 years,13.8,32.5 years,78.0," $45,706 "," 21,166 (98% urban, 2% rural). "," 1,536 "
298,"Plano, TX", 674 feet," $291,100 ",34.5 years,71.6,38.1 years,95.0," $88,398 "," 286,047"," 3,997 "
299,"Pleasanton, TX",," $152,446 ",34.5 years,6.39,35.8 years,82.1," $61,649 "," 9,638 (92% urban, 8% rural). "," 1,508 "
300,Pollok, 305 feet," $89,919 ",32.3 years,160.1,34.6 years,81.2," $45,492 "," 9,456.", 59 
301,Port Arthur,," $69,987 ",34.5 years,82.9,33.4 years,82.1," $32,305 "," 54,548 (98% urban, 2% rural). ", 658 
302,Port Lavaca,," $102,310 ",34.5 years,9.79,36.0 years,82.2," $44,976 "," 12,399 (94% urban, 6% rural). "," 1,267 "
303,Port Neches,," $155,538 ",34.5 years,9.13,41.0 years,83.5," $60,774 "," 12,755 (100% urban, 0% rural). "," 1,398 "
304,"Portland, TX",," $162,513 ",34.5 years,6.98,35.6 years,87.7," $59,974 "," 15,915 (100% urban, 0% rural). "," 2,281 "
305,"Prairie View, TX",," $168,404 ",34.5 years,7.22,20.0 years,96.5," $25,452 "," 6,197 (84% urban, 16% rural). ", 859 
306,"Princeton, TX", 580 feet," $165,415 ",34.5 years,4.34,33.2 years,93.4," $54,032 "," 8,140 (93% urban, 7% rural). "," 1,876 "
307,Prosper,," $453,276 ",34.5 years,4.95,34.1 years,95.2," $125,084 "," 14,416 (87% urban, 13% rural). "," 2,912 "
308,"Raymondville, TX", 37 feet," $53,871 ",34.5 years,3.8,34.3 years,76.5," $24,979 "," 11,117 (99% urban, 1% rural). "," 2,929 "
309,"Red Oak, TX",," $171,418 ",34.5 years,7.82,34.2 years,92.2," $76,609 "," 11,560 (94% urban, 6% rural). "," 1,478 "
310,Rendon, 733 feet," $229,142 ",34.5 years,24.8,39.9 years,94.2," $82,160 "," 12,552. ", 507 
311,"Richardson, TX",," $246,200 ",34.5 years,28.6,35.2 years,94.9," $82,241 "," 113,368"," 3,969 "
312,Richland Hills,," $126,290 ",34.5 years,3.15,42.3 years,93.9," $51,452 "," 8,041 (100% urban, 0% rural). "," 2,556 "
313,"Richmond, TX",," $117,863 ",34.5 years,3.72,34.8 years,91.5," $47,862 "," 12,018 (99% urban, 1% rural). "," 3,227 "
314,Rio Grande City, 200 feet," $88,050 ",34.5 years,7.59,31.4 years,78.9," $32,109 "," 14,227 (96% urban, 4% rural). "," 1,875 "
315,River Oaks,," $97,277 ",34.5 years,1.99,32.3 years,94.1," $42,863 "," 7,671 (100% urban, 0% rural). "," 3,849 "
316,"Roanoke, TX",," $256,968 ",34.5 years,6.03,37.7 years,95.0," $66,105 "," 6,974 (99% urban, 1% rural). "," 1,157 "
317,"Robinson, TX",," $154,047 ",34.5 years,31.6,39.7 years,85.9," $80,825 "," 11,416 (62% urban, 38% rural). ", 362 
318,Robstown,," $61,698 ",34.5 years,12.1,31.5 years,84.9," $35,008 "," 11,657 (92% urban, 8% rural). ", 966 
319,"Rockport, TX",," $230,310 ",34.5 years,9.39,52.1 years,86.1," $59,905 "," 10,323 (97% urban, 3% rural). "," 1,099 "
320,Rockwall, 588 feet," $241,824 ",34.5 years,22.3,37.9 years,94.0," $95,744 "," 41,785 (98% urban, 2% rural). "," 1,876 "
321,Roma-Los Saenz, 225 feet," $79,363 ",32.3 years,307.3,26.4 years,83.9," $25,015 "," 20,644.", 67 
322,Roma,," $79,448 ",34.5 years,2.76,37.1 years,79.4," $20,508 "," 10,088 (100% urban, 0% rural). "," 3,661 "
323,Rosenberg,," $142,126 ",34.5 years,21.2,31.8 years,93.1," $46,950 "," 34,468 (99% urban, 1% rural). "," 1,622 "
324,"Round Rock, TX",," $233,200 ",34.5 years,26.1,33.9 years,93.4," $72,001 "," 120,528"," 4,611 "
325,Rowlett,," $187,587 ",34.5 years,20.2,38.4 years,94.5," $90,538 "," 58,407 (100% urban, 0% rural). "," 2,888 "
326,Royse City, 562 feet," $167,408 ",34.5 years,10.2,29.5 years,93.4," $77,942 "," 10,757 (83% urban, 17% rural). "," 1,054 "
327,Sabine, 5 feet," $107,575 ",32.3 years,58.8,36.9 years,82.8," $48,286 "," 7,923.", 135 
328,Sachse,," $205,065 ",34.5 years,9.73,37.4 years,94.2," $98,691 "," 23,681 (98% urban, 2% rural). "," 2,433 "
329,"Saginaw, TX",," $147,907 ",34.5 years,7.5,34.8 years,94.0," $82,629 "," 21,703 (100% urban, 0% rural). "," 2,892 "
330,San Angelo, 1848 feet," $136,500 ",34.5 years,55.9,33.2 years,85.0," $46,619 "," 103,526"," 1,852 "
331,"San Antonio, TX",," $133,900 ",34.5 years,407.6,33.5 years,87.5," $49,268 "," 1,492,494"," 3,662 "
332,San Benito, 40 feet," $54,468 ",34.5 years,11.0,31.9 years,78.9," $28,656 "," 24,506 (97% urban, 3% rural). "," 2,227 "
333,San Elizario,," $63,242 ",34.5 years,9.93,25.4 years,81.5," $25,023 "," 13,603. "," 1,370 "
334,"San Juan, TX",," $88,759 ",34.5 years,11.0,29.9 years,81.7," $34,966 "," 36,174 (99% urban, 1% rural). "," 3,287 "
335,"San Marcos, TX", 619 feet," $172,386 ",34.5 years,18.2,23.8 years,94.8," $33,117 "," 58,892 (98% urban, 2% rural). "," 3,234 "
336,"Sanger, TX", 665 feet," $128,069 ",34.5 years,3.14,31.9 years,93.5," $60,413 "," 7,601 (83% urban, 17% rural). "," 2,417 "
337,"Santa Fe, TX",," $178,985 ",34.5 years,14.0,41.3 years,93.3," $63,681 "," 12,860 (96% urban, 4% rural). ", 919 
338,Schertz,," $192,859 ",34.5 years,24.7,36.8 years,88.3," $81,388 "," 36,896 (96% urban, 4% rural). "," 1,492 "
339,"Seabrook, TX", 14 feet," $228,617 ",34.5 years,5.73,38.0 years,93.0," $85,973 "," 12,792 (100% urban, 0% rural). "," 2,232 "
340,Seagoville,," $93,181 ",34.5 years,16.2,35.8 years,92.2," $48,741 "," 15,723 (86% urban, 14% rural). ", 968 
341,Sealy,," $160,142 ",34.5 years,6.91,31.3 years,85.7," $46,936 "," 6,286 (91% urban, 9% rural). ", 909 
342,Seguin,," $119,163 ",34.5 years,19.0,36.6 years,87.7," $40,846 "," 27,041 (91% urban, 9% rural). "," 1,422 "
343,"Selma, TX",," $184,174 ",34.5 years,4.87,31.8 years,88.9," $79,436 "," 8,483 (100% urban, 0% rural). "," 1,743 "
344,"Seminole, TX", 3297 feet," $106,837 ",34.5 years,3.35,33.0 years,80.2," $53,346 "," 7,206 (100% urban, 0% rural). "," 2,149 "
345,Shepherd-Evergreen,," $92,978 ",32.3 years,354.3,36.4 years,81.2," $45,995 "," 14,920.", 42 
346,"Sherman, TX",," $116,208 ",34.5 years,38.6,33.3 years,84.9," $45,190 "," 39,943 (97% urban, 3% rural). "," 1,036 "
347,Sienna Plantation,," $370,955 ",34.5 years,16.2,36.1 years,96.7," $137,966 "," 13,721. ", 849 
348,Silsbee, 81 feet," $103,894 ",34.5 years,7.53,39.0 years,82.9," $35,833 "," 6,692 (92% urban, 8% rural). ", 889 
349,Slaton, 3081 feet," $64,743 ",34.5 years,5.42,36.3 years,82.5," $42,288 "," 6,068 (96% urban, 4% rural). "," 1,119 "
350,"Snyder, TX",," $99,028 ",34.5 years,8.58,32.9 years,79.3," $52,015 "," 11,571 (98% urban, 2% rural). "," 1,349 "
351,"Socorro, TX",," $89,018 ",34.5 years,17.5,30.7 years,81.8," $32,254 "," 32,909 (100% urban, 0% rural). "," 1,880 "
352,South Bell,," $226,096 ",32.3 years,205.2,40.6 years,85.7," $73,151 "," 8,528.", 42 
353,South Brazos,," $273,743 ",32.3 years,204.1,28.2 years,94.6," $70,438 "," 26,187.", 128 
354,South Houston,," $95,429 ",34.5 years,3.03,29.2 years,92.3," $42,615 "," 17,536 (100% urban, 0% rural). "," 5,794 "
355,South Rockwall,," $275,023 ",32.3 years,68.4,35.7 years,100.0," $104,014 "," 24,939.", 365 
356,Southeast Bexar,," $116,938 ",32.3 years,137.5,31.9 years,82.8," $49,809 "," 21,430.", 156 
357,Southeast Harris,," $179,263 ",32.3 years,77.8,34.5 years,97.0," $79,593 "," 93,921."," 1,207 "
358,"Southeast Hidalgo, TX",," $69,642 ",32.3 years,181.4,27.0 years,83.2," $33,278 "," 124,914.", 688 
359,"Southeast Montgomery, TX",," $221,824 ",32.3 years,483.9,33.3 years,99.3," $70,347 "," 288,750.", 597 
360,Southlake,," $667,174 ",34.5 years,21.9,42.4 years,96.2," $193,075 "," 29,086 (98% urban, 2% rural). "," 1,329 "
361,Southwest Bell,," $173,532 ",32.3 years,98.5,37.1 years,85.4," $70,266 "," 6,053.", 61 
362,Southwest Grayson,," $155,484 ",32.3 years,234.9,36.2 years,83.4," $65,936 "," 8,173.", 35 
363,Spring,," $138,223 ",34.5 years,23.9,33.3 years,93.7," $67,768 "," 54,298. "," 2,268 "
364,"Stafford, TX",," $195,527 ",34.5 years,6.98,36.4 years,94.4," $59,094 "," 18,344 (100% urban, 0% rural). "," 2,629 "
365,Stephenville, 1277 feet," $133,433 ",34.5 years,10.0,24.7 years,82.0," $40,547 "," 19,374 (98% urban, 2% rural). "," 1,932 "
366,Sugar Land,," $325,200 ",34.5 years,24.1,42.0 years,96.1," $112,998 "," 88,187"," 3,661 "
367,"Sulphur Springs, TX",," $98,575 ",34.5 years,17.9,35.7 years,79.8," $38,589 "," 15,975 (93% urban, 7% rural). ", 895 
368,"Sweetwater, TX",," $60,775 ",34.5 years,10.0,36.3 years,76.8," $34,818 "," 10,805 (93% urban, 7% rural). "," 1,078 "
369,"Taylor, TX", 567 feet," $135,562 ",34.5 years,13.5,37.7 years,92.1," $48,143 "," 16,483 (95% urban, 5% rural). "," 1,218 "
370,"Temple, TX",," $132,200 ",34.5 years,65.4,37.4 years,85.1," $50,910 "," 73,597"," 1,126 "
371,Terrell,," $106,701 ",34.5 years,18.3,35.8 years,92.9," $42,072 "," 16,561 (93% urban, 7% rural). ", 904 
372,"Texarkana, TX",," $123,290 ",34.5 years,25.6,34.9 years,80.1," $42,056 "," 37,225 (100% urban, 0% rural). "," 1,453 "
373,Texas City,," $112,295 ",34.5 years,62.4,36.4 years,92.3," $43,199 "," 46,639 (96% urban, 4% rural). ", 748 
374,The Colony, 546 feet," $188,846 ",34.5 years,13.7,34.5 years,94.4," $77,619 "," 41,352 (100% urban, 0% rural). "," 3,027 "
375,The Woodlands,," $339,500 ",34.5 years,23.4,39.5 years,96.1," $97,280 "," 112,076"," 4,788 "
376,Timberwood Park,," $328,563 ",34.5 years,19.0,35.7 years,90.1," $112,248 "," 13,447. ", 707 
377,Tomball,," $203,788 ",34.5 years,10.2,37.8 years,94.0," $50,238 "," 11,299 (93% urban, 7% rural). "," 1,113 "
378,Trophy Club, 630 feet," $389,540 ",34.5 years,4.05,41.6 years,94.6," $140,306 "," 11,227 (96% urban, 4% rural). "," 2,772 "
379,"Tyler, TX",," $155,200 ",34.5 years,49.3,32.5 years,85.7," $47,811 "," 104,796"," 2,126 "
380,Universal City, 767 feet," $166,628 ",34.5 years,5.65,37.2 years,87.6," $61,205 "," 19,721 (100% urban, 0% rural). "," 3,490 "
381,"University Park, TX", 550 feet," over $1,000,000 ",34.5 years,3.72,32.9 years,101.2," over $200,000 "," 24,396 (100% urban, 0% rural). "," 6,557 "
382,Uvalde, 907 feet," $76,732 ",34.5 years,6.72,31.4 years,77.6," $39,467 "," 16,412 (100% urban, 0% rural). "," 2,441 "
383,"Vernon, TX", 1216 feet," $75,374 ",34.5 years,8.1,37.1 years,77.5," $42,215 "," 10,531 (96% urban, 4% rural). "," 1,300 "
384,"Victoria, TX",," $119,900 ",34.5 years,33.0,34.0 years,84.6," $50,851 "," 67,672"," 2,053 "
